wape,mae,rmse,rmsle,mase,n,regime,model
0.4400631785392761,2.8626577854156494,6.426675796508789,0.6276156306266785,0.7262256741523743,130405.0,normal,lightgbm
0.4445554316043854,2.8918802738189697,6.423839092254639,0.6262984871864319,0.733639121055603,130405.0,normal,always_on
0.4393472969532013,2.8580007553100586,6.389624118804932,0.6215408444404602,0.7250442504882812,130405.0,normal,constant_gate
0.4396325349807739,2.859856367111206,6.416030406951904,0.6240139007568359,0.7255150079727173,130405.0,normal,gated
0.43940770626068115,2.858393907546997,6.4134602546691895,0.6237876415252686,0.7251439690589905,130405.0,normal,gated_A2_no_recent_error
0.43940237164497375,2.8583590984344482,6.410646915435791,0.6240977048873901,0.7251351475715637,130405.0,normal,gated_A3_no_promotion
0.4397851526737213,2.860849142074585,6.4210615158081055,0.6243228316307068,0.7257668375968933,130405.0,normal,gated_A5_no_demand_state
0.4826688766479492,6.572204113006592,40.88003921508789,0.5911009311676025,0.7727277874946594,30416.0,promotion,lightgbm
0.47561946511268616,6.4762163162231445,40.02676773071289,0.5849975347518921,0.7614420056343079,30416.0,promotion,always_on
0.47612687945365906,6.483125686645508,40.379974365234375,0.5812767148017883,0.7622544169425964,30416.0,promotion,constant_gate
0.474884569644928,6.466209888458252,40.13199996948242,0.5867471098899841,0.7602655291557312,30416.0,promotion,gated
0.4744616448879242,6.460451126098633,40.08198928833008,0.5824798345565796,0.7595884203910828,30416.0,promotion,gated_A2_no_recent_error
0.47826912999153137,6.512295246124268,40.817535400390625,0.5904028415679932,0.7656840085983276,30416.0,promotion,gated_A3_no_promotion
0.4750297963619232,6.468186855316162,40.102996826171875,0.5866265892982483,0.7604979872703552,30416.0,promotion,gated_A5_no_demand_state
0.41001951694488525,3.278468608856201,11.45184326171875,0.6540825366973877,0.6306456923484802,27906.0,post_promo,lightgbm
0.42135411500930786,3.369098663330078,11.53085708618164,0.6646303534507751,0.6480792760848999,27906.0,post_promo,always_on
0.4128439128398895,3.3010518550872803,11.413474082946777,0.6530529856681824,0.6349897980690002,27906.0,post_promo,constant_gate
0.4096863567829132,3.2758045196533203,11.43917179107666,0.6529421806335449,0.6301332116127014,27906.0,post_promo,gated
0.40926262736320496,3.272416591644287,11.418121337890625,0.6523807644844055,0.6294815540313721,27906.0,post_promo,gated_A2_no_recent_error
0.4091779887676239,3.2717397212982178,11.390742301940918,0.6524441838264465,0.6293513178825378,27906.0,post_promo,gated_A3_no_promotion
0.4097648561000824,3.2764322757720947,11.434977531433105,0.654205322265625,0.6302539706230164,27906.0,post_promo,gated_A5_no_demand_state
0.47730326652526855,3.835740327835083,12.40706729888916,0.6554695963859558,0.7114766240119934,12129.0,holiday,lightgbm
0.4729115962982178,3.800447940826416,12.142413139343262,0.6461618542671204,0.7049303650856018,12129.0,holiday,always_on
0.4726127088069916,3.798046112060547,12.217792510986328,0.6444453597068787,0.7044848799705505,12129.0,holiday,constant_gate
0.47175899147987366,3.791185140609741,12.131988525390625,0.649105966091156,0.7032122611999512,12129.0,holiday,gated
0.4708470404148102,3.7838563919067383,12.098773956298828,0.6505847573280334,0.7018528580665588,12129.0,holiday,gated_A2_no_recent_error
0.4720691442489624,3.793677568435669,12.364192962646484,0.6512241363525391,0.7036745548248291,12129.0,holiday,gated_A3_no_promotion
0.4716477692127228,3.7902915477752686,12.131738662719727,0.6504473686218262,0.7030465006828308,12129.0,holiday,gated_A5_no_demand_state
0.7656257748603821,2.076566457748413,23.870737075805664,0.6600740551948547,0.6025286316871643,64232.0,high_vol,lightgbm
0.8301789164543152,2.25165057182312,23.41193962097168,0.6537494659423828,0.653330385684967,64232.0,high_vol,always_on
0.7926273345947266,2.149801254272461,23.552696228027344,0.6444770097732544,0.6237781643867493,64232.0,high_vol,constant_gate
0.7604355216026306,2.0624890327453613,23.32517433166504,0.6540123820304871,0.5984439849853516,64232.0,high_vol,gated
0.7621380686759949,2.0671067237854004,23.292329788208008,0.6547690629959106,0.5997838377952576,64232.0,high_vol,gated_A2_no_recent_error
0.7617020010948181,2.0659241676330566,23.842479705810547,0.6549512147903442,0.5994406938552856,64232.0,high_vol,gated_A3_no_promotion
0.7605084776878357,2.0626871585845947,23.304956436157227,0.6563636660575867,0.5985015034675598,64232.0,high_vol,gated_A5_no_demand_state
0.43071413040161133,3.4005749225616455,11.521530151367188,0.6223456263542175,0.7406619191169739,183932.0,low_vol,lightgbm
0.43204858899116516,3.4111108779907227,11.455723762512207,0.6220252513885498,0.7429566979408264,183932.0,low_vol,always_on
0.42857858538627625,3.383714437484741,11.459158897399902,0.616861879825592,0.7369896173477173,183932.0,low_vol,constant_gate
0.42859822511672974,3.3838694095611572,11.468154907226562,0.619438648223877,0.7370233535766602,183932.0,low_vol,gated
0.428309828042984,3.3815925121307373,11.459235191345215,0.6189283132553101,0.7365274429321289,183932.0,low_vol,gated_A2_no_recent_error
0.42912840843200684,3.3880553245544434,11.48687744140625,0.619583249092102,0.7379350662231445,183932.0,low_vol,gated_A3_no_promotion
0.4287653863430023,3.3851892948150635,11.470267295837402,0.6197553873062134,0.7373108267784119,183932.0,low_vol,gated_A5_no_demand_state
