wape,mae,rmse,rmsle,mase,n,model,fold
0.6599370837211609,4.4670939445495605,19.781726837158203,0.8618046641349792,1.0,84000.0,seasonal_naive,fold1
0.48059186339378357,3.2531116008758545,15.393616676330566,0.6292701959609985,0.7282388806343079,84000.0,lightgbm,fold1
0.4873373508453369,3.298771619796753,15.28026294708252,0.6396237015724182,0.7384603023529053,84000.0,always_on,fold1
0.48059186339378357,3.2531116008758545,15.393616676330566,0.6292701959609985,0.7282388806343079,84000.0,constant_gate,fold1
0.48034921288490295,3.251469135284424,15.377080917358398,0.6296414732933044,0.7278712391853333,84000.0,gated,fold1
0.6702848672866821,4.4921393394470215,29.403688430786133,0.8499695658683777,1.0,84000.0,seasonal_naive,fold2
0.48192277550697327,3.229767084121704,20.937768936157227,0.6308783292770386,0.718981921672821,84000.0,lightgbm,fold2
0.4909266531467438,3.290109634399414,20.758132934570312,0.643726110458374,0.7324148416519165,84000.0,always_on,fold2
0.48192277550697327,3.229767084121704,20.937768936157227,0.6308783292770386,0.718981921672821,84000.0,constant_gate,fold2
0.4814944565296173,3.2268965244293213,20.916547775268555,0.6316326856613159,0.7183429002761841,84000.0,gated,fold2
0.6432755589485168,4.065303802490234,18.142030715942383,0.8439451456069946,1.0,84000.0,seasonal_naive,fold3
0.4635210931301117,2.9293107986450195,13.27864933013916,0.6220473051071167,0.7205638289451599,84000.0,lightgbm,fold3
0.4740593433380127,2.9959094524383545,13.25556468963623,0.6349239945411682,0.7369460463523865,84000.0,always_on,fold3
0.4635210931301117,2.9293107986450195,13.27864933013916,0.6220473051071167,0.7205638289451599,84000.0,constant_gate,fold3
0.4637463688850403,2.930734634399414,13.248967170715332,0.6235698461532593,0.7209140658378601,84000.0,gated,fold3
