model,wape,mae,rmse,mase,promo_wape,post_promo_wape,high_vol_wape,cost_3_1
seasonal_naive,0.6581208109855652,4.341512680053711,22.98569679260254,1.0,0.6271070837974548,0.6623380780220032,1.278158187866211,8.657436
lightgbm,0.47559139132499695,3.137396812438965,16.849096298217773,0.7226505875587463,0.48750120401382446,0.4267044961452484,0.7805271148681641,7.1481194
always_on,0.4843127727508545,3.1949303150177,16.734161376953125,0.7359025478363037,0.48464369773864746,0.43468138575553894,0.8322721123695374,6.810648
constant_gate,0.47559139132499695,3.137396812438965,16.849096298217773,0.7226505875587463,0.48750120401382446,0.4267044961452484,0.7805271148681641,7.1481194
gated,0.4754352271556854,3.136366844177246,16.827476501464844,0.7224133610725403,0.48464342951774597,0.4267217516899109,0.7796065211296082,7.0566487
