wape,mae,rmse,rmsle,mase,n,regime,model
0.4400631785392761,2.8626577854156494,6.426675796508789,0.6276156306266785,0.7262256741523743,130405.0,normal,lightgbm
0.4445554316043854,2.8918802738189697,6.423839092254639,0.6262984871864319,0.733639121055603,130405.0,normal,always_on
0.4393472969532013,2.8580007553100586,6.389624118804932,0.6215408444404602,0.7250442504882812,130405.0,normal,constant_gate
0.4826688766479492,6.572204113006592,40.88003921508789,0.5911009311676025,0.7727277874946594,30416.0,promotion,lightgbm
0.47561946511268616,6.4762163162231445,40.02676773071289,0.5849975347518921,0.7614420056343079,30416.0,promotion,always_on
0.47612687945365906,6.483125686645508,40.379974365234375,0.5812767148017883,0.7622544169425964,30416.0,promotion,constant_gate
0.41001951694488525,3.278468608856201,11.45184326171875,0.6540825366973877,0.6306456923484802,27906.0,post_promo,lightgbm
0.42135411500930786,3.369098663330078,11.53085708618164,0.6646303534507751,0.6480792760848999,27906.0,post_promo,always_on
0.4128439128398895,3.3010518550872803,11.413474082946777,0.6530529856681824,0.6349897980690002,27906.0,post_promo,constant_gate
0.47730326652526855,3.835740327835083,12.40706729888916,0.6554695963859558,0.7114766240119934,12129.0,holiday,lightgbm
0.4729115962982178,3.800447940826416,12.142413139343262,0.6461618542671204,0.7049303650856018,12129.0,holiday,always_on
0.4726127088069916,3.798046112060547,12.217792510986328,0.6444453597068787,0.7044848799705505,12129.0,holiday,constant_gate
0.7656257748603821,2.076566457748413,23.870737075805664,0.6600740551948547,0.6025286316871643,64232.0,high_vol,lightgbm
0.8301789164543152,2.25165057182312,23.41193962097168,0.6537494659423828,0.653330385684967,64232.0,high_vol,always_on
0.7926273345947266,2.149801254272461,23.552696228027344,0.6444770097732544,0.6237781643867493,64232.0,high_vol,constant_gate
0.43071413040161133,3.4005749225616455,11.521530151367188,0.6223456263542175,0.7406619191169739,183932.0,low_vol,lightgbm
0.43204858899116516,3.4111108779907227,11.455723762512207,0.6220252513885498,0.7429566979408264,183932.0,low_vol,always_on
0.42857858538627625,3.383714437484741,11.459158897399902,0.616861879825592,0.7369896173477173,183932.0,low_vol,constant_gate
