wape,mae,rmse,rmsle,mase,n,regime,model
0.4452541470527649,2.8932697772979736,6.467374324798584,0.6235190033912659,0.7344741821289062,132144.0,normal,lightgbm
0.4527532160282135,2.9419989585876465,6.438961505889893,0.6395233273506165,0.7468444108963013,132144.0,normal,always_on
0.4452541470527649,2.8932697772979736,6.467374324798584,0.6235190033912659,0.7344741821289062,132144.0,normal,constant_gate
0.44660040736198425,2.902017831802368,6.439795970916748,0.628157377243042,0.7366949319839478,132144.0,normal,gated
0.48750120401382446,6.798230171203613,44.29527282714844,0.5886714458465576,0.777381181716919,31086.0,promotion,lightgbm
0.48464369773864746,6.7583818435668945,43.922264099121094,0.5836494565010071,0.7728245258331299,31086.0,promotion,always_on
0.48750120401382446,6.798230171203613,44.29527282714844,0.5886714458465576,0.777381181716919,31086.0,promotion,constant_gate
0.4846050441265106,6.757842540740967,44.13993453979492,0.5854461789131165,0.7727628350257874,31086.0,promotion,gated
0.4267044961452484,3.403346538543701,11.462550163269043,0.6702725291252136,0.6442396640777588,28252.0,post_promo,lightgbm
0.43468138575553894,3.4669692516326904,11.495339393615723,0.6831721067428589,0.6562831997871399,28252.0,post_promo,always_on
0.4267044961452484,3.403346538543701,11.462550163269043,0.6702725291252136,0.6442396640777588,28252.0,post_promo,constant_gate
0.42797794938087463,3.413503408432007,11.45259952545166,0.6736148595809937,0.6461623311042786,28252.0,post_promo,gated
0.5058103203773499,4.100146770477295,12.814292907714844,0.6622365117073059,0.755316436290741,12544.0,holiday,lightgbm
0.5002314448356628,4.0549235343933105,12.657068252563477,0.6572739481925964,0.7469855546951294,12544.0,holiday,always_on
0.5058103203773499,4.100146770477295,12.814292907714844,0.6622365117073059,0.755316436290741,12544.0,holiday,constant_gate
0.5045452117919922,4.0898919105529785,12.774548530578613,0.6618267297744751,0.7534273266792297,12544.0,holiday,gated
0.7805271148681641,2.1706008911132812,24.974313735961914,0.640967845916748,0.610665500164032,65366.0,high_vol,lightgbm
0.8322721123695374,2.3145008087158203,24.757225036621094,0.6528756618499756,0.6511495113372803,65366.0,high_vol,always_on
0.7805271148681641,2.1706008911132812,24.974313735961914,0.640967845916748,0.610665500164032,65366.0,high_vol,constant_gate
0.7819532155990601,2.1745667457580566,24.877620697021484,0.6406598091125488,0.6117811799049377,65366.0,high_vol,gated
0.43815377354621887,3.4760031700134277,12.840295791625977,0.6225922107696533,0.7528447508811951,186634.0,low_vol,lightgbm
0.44159311056137085,3.503288507461548,12.784472465515137,0.6346598863601685,0.758754312992096,186634.0,low_vol,always_on
0.43815377354621887,3.4760031700134277,12.840295791625977,0.6225922107696533,0.7528447508811951,186634.0,low_vol,constant_gate
0.4382956027984619,3.477128267288208,12.805140495300293,0.626028835773468,0.7530884146690369,186634.0,low_vol,gated
