lambda,gate_train_wape,fold_wape_appendix,gate_mean
0.0,0.4785485863685608,0.4758734703063965,0.4122987389564514
0.01,0.4785493016242981,0.47568127512931824,0.32627159357070923
0.05,0.4785948693752289,0.47514763474464417,0.14145763218402863
0.1,0.4785296618938446,0.4754352271556854,0.16043712198734283
